contig	length	gc	cov	kingdom	phylum	class	order	family	genus	species	taxid	single_copy_PFAMs	num_single_copies	bh_tsne_x	bh_tsne_y	cluster	ML_expanded_clustering
NODE_133_length_111688_cov_223.412	111688	33.0071269966	223.412	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	candidate division WS6 bacterium GW2011_GWE2_33_157	1619095	PF01783.18,PF01765.14,PF00889.14,PF06071.8,PF01330.16,PF02130.12,PF00035.20,PF02132.10,PF00886.14,PF01084.15,PF01250.12,PF00627.26,PF00318.15,PF05491.8,PF01195.14,PF03118.10	16	-21.445770793409075	7.207699437858162	DBSCAN_round3_5	DBSCAN_round3_5
NODE_134_length_111466_cov_225.817	111466	28.9738574991	225.817	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Caloranaerobacter	Caloranaerobacter sp. TR13	1302151		0	-23.348435157321788	5.589028354705723	DBSCAN_round3_2	DBSCAN_round3_2
NODE_135_length_111190_cov_224.301	111190	38.4746829751	224.301	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1351	PF04998.12,PF04983.13,PF04565.11,PF04560.15,PF04997.7,PF04563.10,PF05000.12,PF00380.14,PF00562.23,PF00572.13,PF10385.4,PF00623.15,PF04561.9	13	-8.241045152624357	-26.378714080723423	DBSCAN_round1_7	DBSCAN_round1_7
NODE_136_length_111142_cov_224.73	111142	59.1414586745	224.73	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	654	PF01018.17,PF01715.12,PF01016.14,PF02367.12,PF00829.16	5	14.640507188534801	-0.056179409896362206	DBSCAN_round1_5	DBSCAN_round1_5
NODE_137_length_110232_cov_222.759	110232	55.4947746571	222.759	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	239935		0	33.85823586610645	7.020562262498426	DBSCAN_round1_6	DBSCAN_round1_6
NODE_138_length_110015_cov_223.823	110015	38.7619870018	223.823	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685		0	-1.7432325680450702	-17.924771151263585	DBSCAN_round2_3	DBSCAN_round2_3
NODE_139_length_108919_cov_226.739	108919	69.1229262112	226.739	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces europaeiscabiei	146819		0	-0.9189356598183854	7.15419694518922	DBSCAN_round1_11	DBSCAN_round1_11
NODE_140_length_108629_cov_224.149	108629	68.6814754808	224.149	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	37326	PF03485.11,PF00750.14	2	7.087315270104858	18.61133230663656	DBSCAN_round1_0	DBSCAN_round1_0
NODE_141_length_108342_cov_225.343	108342	38.2603237895	225.343	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1351	PF01632.14,PF01416.15,PF00453.13,PF05198.11,PF00707.17	5	-8.349617482372002	-26.413655677342096	DBSCAN_round1_7	DBSCAN_round1_7
NODE_142_length_107924_cov_223.475	107924	69.5128053074	223.475	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus maricopensis	309887	PF00466.15,PF00298.14,PF04998.12,PF04983.13,PF04565.11,PF04560.15,PF04997.7,PF00035.20,PF04563.10,PF03772.11,PF00687.16,PF05000.12,PF01245.15,PF00562.23,PF10385.4,PF03946.9,PF00584.15,PF00623.15,PF00542.14,PF04561.9	20	9.410806167126786	10.079109343771588	DBSCAN_round3_0	DBSCAN_round3_0
NODE_143_length_106656_cov_223.985	106656	37.9566081608	223.985	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	Parcubacteria group bacterium GW2011_GWA2_38_13b	1618780	PF02768.10,PF02367.12,PF00712.14,PF02767.11,PF00825.13,PF05491.8	6	1.9512998450113768	-24.09816209123837	DBSCAN_round2_5	DBSCAN_round2_5
NODE_144_length_106511_cov_224.019	106511	39.1067589263	224.019	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685		0	-1.355032193378169	-17.750244703041307	DBSCAN_round2_3	DBSCAN_round2_3
NODE_145_length_106107_cov_223.794	106107	29.5277408654	223.794	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Caloranaerobacter	Caloranaerobacter sp. TR13	1302151		0	-22.940366999004468	5.65575846896609	DBSCAN_round3_2	DBSCAN_round3_2
NODE_146_length_105613_cov_224.716	105613	59.6470131518	224.716	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter inhibens	221822	PF03652.10,PF02403.17	2	17.336889952896026	2.6641342368954883	DBSCAN_round1_1	DBSCAN_round1_1
NODE_147_length_105090_cov_227.076	105090	39.4852031592	227.076	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus	29430	PF01783.18,PF00164.20,PF01668.13,PF08275.6,PF00177.16,PF02978.14,PF01195.14	7	-20.253218837558048	-12.359578975710445	DBSCAN_round1_13	DBSCAN_round1_13
NODE_148_length_105076_cov_224.712	105076	70.7697285774	224.712	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces europaeiscabiei	146819	PF00763.18,PF02882.14	2	-4.739566453304916	6.260398063901472	DBSCAN_round1_11	DBSCAN_round1_11
NODE_149_length_104884_cov_228.36	104884	69.70271919449999	228.36	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus maricopensis	309887		0	9.230298070675342	9.984432903762329	DBSCAN_round3_0	DBSCAN_round3_0
NODE_150_length_104840_cov_224.535	104840	40.583746661599996	224.535	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. ANC 4654	1977872	PF00466.15,PF00298.14,PF01121.15,PF04998.12,PF08529.6,PF04983.13,PF04565.11,PF03652.10,PF04560.15,PF04997.7,PF04563.10,PF11987.3,PF00312.17,PF03840.9,PF00687.16,PF05000.12,PF00121.13,PF00562.23,PF10385.4,PF03726.9,PF03946.9,PF08459.6,PF04760.10,PF00584.15,PF00623.15,PF02033.13,PF00542.14,PF04561.9	28	-21.394852369738892	-12.48276200566621	DBSCAN_round1_13	DBSCAN_round1_13
NODE_151_length_104103_cov_225.101	104103	40.6049777624	225.101	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus	29430	PF01795.14	1	-21.148155600277555	-13.153961795604625	DBSCAN_round1_13	DBSCAN_round1_13
NODE_152_length_103759_cov_224.033	103759	39.8818415752	224.033	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685		0	-0.6914831490707788	-19.09880938537889	DBSCAN_round2_3	DBSCAN_round2_3
NODE_153_length_101057_cov_224.127	101057	34.6705324718	224.127	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:274	1262888	PF00380.14,PF01084.15,PF00572.13,PF01250.12,PF02527.10,PF00825.13	6	-23.93826552607696	13.036123756466987	DBSCAN_round1_10	DBSCAN_round1_10
NODE_154_length_100926_cov_223.929	100926	39.4021362186	223.929	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685		0	-0.5595313680889832	-18.99884809581302	DBSCAN_round2_3	DBSCAN_round2_3
NODE_155_length_100674_cov_223.648	100674	27.8373760852	223.648	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:356	1262800	PF03485.11,PF00750.14	2	-25.980555367176805	5.83428050285381	DBSCAN_round2_4	DBSCAN_round2_4
NODE_156_length_100002_cov_224.043	100002	33.1843363133	224.043	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	candidate division WS6 bacterium GW2011_GWE2_33_157	1619095	PF00164.20,PF04998.12,PF02768.10,PF04983.13,PF04565.11,PF01668.13,PF04560.15,PF04997.7,PF04563.10,PF00712.14,PF00562.23,PF01025.14,PF10385.4,PF08275.6,PF02767.11,PF00825.13,PF00177.16,PF00623.15,PF04561.9	19	-21.460262700233947	7.0250463102245995	DBSCAN_round3_5	DBSCAN_round3_5
NODE_157_length_98878_cov_225.159	98878	71.9593842918	225.159	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia thailandica	257275		0	-3.3686467379005984	21.03701634498396	DBSCAN_round1_9	DBSCAN_round1_9
NODE_158_length_98590_cov_225.027	98590	27.1964702302	225.027	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:356	1262800	PF03602.10,PF01715.12,PF01016.14,PF02367.12,PF01668.13,PF01416.15,PF01195.14,PF00829.16	8	-25.692961027755164	6.007198193980009	DBSCAN_round2_4	DBSCAN_round2_4
NODE_159_length_98172_cov_223.943	98172	37.7429409608	223.943	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685		0	-2.8144456614797395	-17.301664751387133	DBSCAN_round2_3	DBSCAN_round2_3
NODE_160_length_97942_cov_222.841	97942	31.6391333646	222.841	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:274	1262888	PF00830.14,PF00312.17,PF02410.10,PF05698.9,PF06689.8,PF05697.8,PF03726.9	7	-23.194419793939772	12.637473782211671	DBSCAN_round1_10	DBSCAN_round1_10
NODE_161_length_97915_cov_223.088	97915	65.3474952765	223.088	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium afermentans	38286		0	12.350299821109939	11.827987702450732	DBSCAN_round3_3	DBSCAN_round3_3
NODE_162_length_97904_cov_222.102	97904	38.6613417225	222.102	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1351		0	-8.054951635706676	-26.898170215716213	DBSCAN_round1_7	DBSCAN_round1_7
NODE_163_length_96922_cov_224.559	96922	72.3055652999	224.55900000000003	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia thailandica	257275		0	-3.091296634887742	21.278319086357136	DBSCAN_round1_9	DBSCAN_round1_9
NODE_164_length_96188_cov_223.622	96188	38.591092444000004	223.622	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus	29430	PF06071.8,PF02224.13,PF02527.10	3	-20.032572216928354	-11.644288850785415	DBSCAN_round1_13	DBSCAN_round1_13
NODE_165_length_96175_cov_222.234	96175	38.8905640759	222.234	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1351	PF01330.16,PF00312.17,PF07499.8,PF03726.9,PF05491.8,PF00163.14	6	-8.442833097952848	-26.762692132604	DBSCAN_round1_7	DBSCAN_round1_7
NODE_166_length_95533_cov_224.19	95533	27.979860362399997	224.19	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:356	1262800	PF00154.16,PF02938.9	2	-25.95046565175256	5.857732939781925	DBSCAN_round2_4	DBSCAN_round2_4
NODE_167_length_95041_cov_224.08	95041	71.0493366021	224.08	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia thailandica	257275		0	-2.9499428075221465	20.465921278273946	DBSCAN_round1_9	DBSCAN_round1_9
NODE_168_length_94504_cov_223.548	94504	39.7009650385	223.548	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus	29430		0	-20.173040160342477	-12.426763055570538	DBSCAN_round1_13	DBSCAN_round1_13
NODE_169_length_94473_cov_225.282	94473	67.589681708	225.282	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia thailandica	257275		0	5.667142645068787	17.227719770211525	DBSCAN_round1_0	DBSCAN_round1_0
NODE_170_length_94022_cov_223.957	94022	57.2408585225	223.957	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia aphidicola	68334		0	20.38819257444074	-9.344304747419574	DBSCAN_round1_14	DBSCAN_round1_14
NODE_171_length_93220_cov_223.906	93220	40.3636558678	223.906	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus	29430	PF00410.14,PF00861.17,PF00416.17,PF00252.13,PF00237.14,PF00276.15,PF00338.17,PF03947.13,PF00181.18,PF01196.14,PF00281.14,PF00673.16,PF00831.18,PF00347.18,PF01000.21,PF01193.19,PF00366.15,PF00297.17,PF00411.14,PF00238.14,PF00828.14,PF00344.15,PF00203.16,PF00573.17,PF00189.15,PF03118.10,PF00163.14,PF03719.10,PF00333.15	29	-21.373945598552414	-12.162812527502641	DBSCAN_round1_13	DBSCAN_round1_13
NODE_172_length_92910_cov_224.68	92910	39.3337638575	224.68	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus	29430	PF00889.14,PF00627.26,PF00318.15	3	-20.27477832504093	-12.064432438784056	DBSCAN_round1_13	DBSCAN_round1_13
NODE_173_length_92190_cov_224.104	92190	58.0843909318	224.104	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia aphidicola	68334	PF00164.20,PF00177.16	2	21.119428613909488	-9.44486005815754	DBSCAN_round1_14	DBSCAN_round1_14
NODE_174_length_91992_cov_222.095	91992	55.7287590225	222.095	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	239935	PF00466.15,PF00298.14,PF01121.15,PF04998.12,PF04983.13,PF04565.11,PF04560.15,PF04997.7,PF04563.10,PF05698.9,PF00687.16,PF05000.12,PF06689.8,PF05697.8,PF00562.23,PF10385.4,PF03946.9,PF02772.11,PF00584.15,PF00623.15,PF00542.14,PF04561.9,PF02773.11	23	34.3697095578313	6.413080986414244	DBSCAN_round1_6	DBSCAN_round1_6
NODE_175_length_91487_cov_224.395	91487	39.847191404200004	224.395	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus	29430		0	-20.82879712382447	-13.029756246569884	DBSCAN_round1_13	DBSCAN_round1_13
NODE_176_length_90355_cov_223.876	90355	35.288583919000004	223.876	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685		0	-3.26300058853646	-16.656099364056765	DBSCAN_round2_3	DBSCAN_round2_3
NODE_177_length_90155_cov_224.001	90155	71.2328767123	224.001	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces europaeiscabiei	146819		0	-3.6845518737035365	5.849366954582353	DBSCAN_round1_11	DBSCAN_round1_11
NODE_178_length_89649_cov_224.08	89649	39.7070798336	224.08	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685	PF03602.10,PF01783.18,PF02873.11,PF01252.13,PF01795.14	5	-0.4460295367307404	-18.450895368565995	DBSCAN_round2_3	DBSCAN_round2_3
NODE_179_length_89383_cov_223.979	89383	71.501292192	223.979	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia thailandica	257275	PF00113.17,PF03461.10,PF03952.11,PF01195.14	4	-1.3890930991810653	19.282137625600463	DBSCAN_round1_9	DBSCAN_round1_9
NODE_180_length_89105_cov_224.008	89105	68.7222939229	224.008	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	37326		0	6.6683794592854175	18.74994073078257	DBSCAN_round1_0	DBSCAN_round1_0
NODE_181_length_88191_cov_229.395	88191	71.2521685886	229.395	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia thailandica	257275	PF00410.14,PF00861.17,PF00252.13,PF00237.14,PF00276.15,PF00338.17,PF03947.13,PF00181.18,PF00281.14,PF00673.16,PF00831.18,PF00347.18,PF00366.15,PF00297.17,PF00238.14,PF00828.14,PF00344.15,PF00203.16,PF00573.17,PF00189.15,PF03719.10,PF00333.15	22	-3.2276234496741516	19.85727867745916	DBSCAN_round1_9	DBSCAN_round1_9
NODE_182_length_88040_cov_222.686	88040	45.364606996800006	222.686	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Gabonia	Gabonia massiliensis	1686296		0	2.1169225005523304	-13.034902467670396	DBSCAN_round1_4	DBSCAN_round1_4
NODE_183_length_87586_cov_223.459	87586	39.994976366100005	223.459	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus	29430	PF01016.14,PF10458.4,PF02403.17,PF00829.16	4	-20.885494971871054	-12.115564970881472	DBSCAN_round1_13	DBSCAN_round1_13
NODE_184_length_87367_cov_224.405	87367	70.6113292204	224.405	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia thailandica	257275	PF02768.10,PF00712.14,PF02527.10,PF02767.11,PF00825.13	5	-2.3473606142364987	19.872161336289828	DBSCAN_round1_9	DBSCAN_round1_9
NODE_185_length_87290_cov_223.775	87290	37.8370947417	223.775	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter acinonychis	212	PF01121.15,PF01330.16,PF11987.3,PF07499.8,PF02527.10,PF04760.10,PF05491.8,PF02033.13	8	-10.810793512696787	-16.340775478676132	DBSCAN_round1_12	DBSCAN_round1_12
NODE_186_length_86785_cov_225.815	86785	39.6220545025	225.815	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus	29430	PF00958.17,PF03485.11,PF00750.14	3	-20.050039893127327	-12.79425384503559	DBSCAN_round1_13	DBSCAN_round1_13
NODE_187_length_86171_cov_223.156	86171	37.4998549396	223.156	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1351		0	-8.513377363038787	-26.246873636533824	DBSCAN_round1_7	DBSCAN_round1_7
NODE_188_length_86162_cov_224.118	86162	40.1418258629	224.118	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685		0	-0.42092282906790174	-19.868467089649226	DBSCAN_round2_3	DBSCAN_round2_3
NODE_189_length_85746_cov_224.26	85746	67.3290882374	224.26	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia thailandica	257275		0	6.789037183241872	16.59921152595704	DBSCAN_round1_0	DBSCAN_round1_0
NODE_190_length_85521_cov_221.678	85521	45.356111364499995	221.678	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Gabonia	Gabonia massiliensis	1686296		0	2.1518912770998617	-13.078994117537198	DBSCAN_round1_4	DBSCAN_round1_4
NODE_191_length_85241_cov_228.275	85241	65.1224176159	228.275	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium ihumii	1232427	PF02873.11	1	12.573285525551816	11.990745321172652	DBSCAN_round3_3	DBSCAN_round3_3
NODE_192_length_84999_cov_223.814	84999	57.118319039	223.814	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	unclassified	Erwinia sp. OLMDLW33	1928656		0	20.26680600083485	-9.097565567122427	DBSCAN_round1_14	DBSCAN_round1_14
NODE_193_length_84292_cov_226.109	84292	68.2235562094	226.109	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	37326	PF02768.10,PF00712.14,PF02767.11	3	6.115058170822463	17.640310947912226	DBSCAN_round1_0	DBSCAN_round1_0
NODE_194_length_84272_cov_224.22	84272	31.9726599582	224.22	Bacteria	Cyanobacteria	unclassified	Synechococcales	Prochloraceae	Prochlorococcus	unclassified	1218	PF01245.15,PF06421.7	2	-20.695383608240785	3.7136999812399636	DBSCAN_round3_4	DBSCAN_round3_4
NODE_195_length_83962_cov_223.135	83962	57.148471927799996	223.135	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia aphidicola	68334		0	20.034637988460826	-9.115206298324305	DBSCAN_round1_14	DBSCAN_round1_14
NODE_196_length_83917_cov_223.822	83917	70.0406353897	223.822	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces europaeiscabiei	146819		0	-2.1203703672371708	7.162154615658858	DBSCAN_round1_11	DBSCAN_round1_11
NODE_197_length_83879_cov_224.283	83879	71.3778180474	224.283	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	unclassified	1883		0	-4.345649000377221	5.811365424721474	DBSCAN_round1_11	DBSCAN_round1_11
NODE_198_length_83690_cov_222.942	83690	33.7304337436	222.942	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Gabonia	Gabonia massiliensis	1686296	PF01016.14,PF03652.10,PF02410.10,PF00829.16	4	-0.6067293654587788	-11.26630093461391	DBSCAN_round1_4	DBSCAN_round1_4
NODE_199_length_82125_cov_224.071	82125	38.7579908676	224.071	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685		0	-1.5931581676786208	-17.82740655913882	DBSCAN_round2_3	DBSCAN_round2_3
NODE_200_length_82014_cov_225.527	82014	68.1871387812	225.527	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces scabiei	1930		0	0.4996890698791544	7.637728384371232	DBSCAN_round1_11	DBSCAN_round1_11
NODE_201_length_81885_cov_225.664	81885	68.3714966111	225.664	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces europaeiscabiei	146819		0	-0.4212144762563835	7.771482581890577	DBSCAN_round1_11	DBSCAN_round1_11
NODE_202_length_81266_cov_224.287	81266	40.3600521743	224.287	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685	PF03485.11,PF00750.14	2	-0.10041409365213833	-18.95562155854098	DBSCAN_round2_3	DBSCAN_round2_3
NODE_203_length_81203_cov_223.854	81203	39.7608462742	223.854	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685		0	-1.3475840165344175	-18.58533164485237	DBSCAN_round2_3	DBSCAN_round2_3
NODE_204_length_79787_cov_224.315	79787	71.37252935939999	224.315	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia thailandica	257275	PF01281.14,PF03948.9,PF01084.15,PF01250.12	4	-2.5029798831143517	20.197626901664115	DBSCAN_round1_9	DBSCAN_round1_9
NODE_205_length_79593_cov_223.498	79593	39.1278127474	223.498	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1351	PF00410.14,PF00861.17,PF00164.20,PF00416.17,PF00252.13,PF00237.14,PF00830.14,PF00276.15,PF00338.17,PF00035.20,PF03947.13,PF00181.18,PF01196.14,PF00281.14,PF00673.16,PF00831.18,PF00347.18,PF01000.21,PF01193.19,PF00366.15,PF00297.17,PF01416.15,PF00411.14,PF00238.14,PF00828.14,PF00344.15,PF00203.16,PF00177.16,PF00573.17,PF00189.15,PF01176.14,PF03118.10,PF03719.10,PF00333.15	34	-9.088351951387056	-26.620063020408697	DBSCAN_round1_7	DBSCAN_round1_7
NODE_206_length_79531_cov_224.062	79531	38.8666054746	224.062	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1351	PF00466.15,PF02938.9,PF00298.14,PF00687.16,PF03946.9,PF00584.15,PF00542.14	7	-8.240112389802569	-26.994584573200736	DBSCAN_round1_7	DBSCAN_round1_7
NODE_207_length_79221_cov_223.477	79221	39.146185986	223.477	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1351		0	-7.850752380039383	-26.369276482429463	DBSCAN_round1_7	DBSCAN_round1_7
NODE_208_length_78965_cov_223.445	78965	73.399607421	223.445	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia thailandica	257275		0	-3.238801375380421	22.46646752536661	DBSCAN_round1_9	DBSCAN_round1_9
NODE_209_length_78896_cov_225.682	78896	67.26069762729999	225.682	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia thailandica	257275		0	6.846911494390283	17.05754583887286	DBSCAN_round1_0	DBSCAN_round1_0
NODE_210_length_78825_cov_223.98	78825	37.4538534729	223.98	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685	PF01252.13	1	-3.042205200193988	-17.096916533682858	DBSCAN_round2_3	DBSCAN_round2_3
NODE_211_length_78236_cov_223.693	78236	62.66552482229999	223.693	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter inhibens	221822		0	17.066529771578526	3.7540996457006295	DBSCAN_round1_1	DBSCAN_round1_1
NODE_212_length_78088_cov_223.989	78088	39.0213605163	223.989	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus	29430		0	-19.91899325381389	-12.266851604110153	DBSCAN_round1_13	DBSCAN_round1_13
NODE_213_length_77417_cov_223.95	77417	58.9857524833	223.95	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia aphidicola	68334		0	21.699643207328226	-8.514321322500987	DBSCAN_round1_14	DBSCAN_round1_14
NODE_214_length_76544_cov_224.961	76544	69.8251985786	224.961	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia thailandica	257275		0	5.554456960206706	17.99348647822593	DBSCAN_round1_0	DBSCAN_round1_0
NODE_215_length_75764_cov_224.153	75764	29.4849796737	224.153	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Caloranaerobacter	Caloranaerobacter sp. TR13	1302151		0	-23.14388426396914	5.861648380554525	DBSCAN_round3_2	DBSCAN_round3_2
NODE_216_length_75598_cov_224.638	75598	39.2722029683	224.638	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus	29430	PF01765.14	1	-20.499775643724448	-11.84621190394159	DBSCAN_round1_13	DBSCAN_round1_13
